name,lastModifiedDate,trackName,artistName,albumName,trackUri,episode,localTrack,addedDate
kasım 2023,2023-11-20,Öyle kolay aşık olmam,Canozan,Öyle kolay aşık olmam,spotify:track:2k62KlwlLa2o7gdXvopqW6,,,2023-10-29
kasım 2023,2023-11-20,Falling In Love,Surface,"12"" Master Series Vol. 1",spotify:track:2q2xdlJHJIx7MdeWkle3iJ,,,2023-10-29
kasım 2023,2023-11-20,Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,The Weeknd,Popular,spotify:track:6WzRpISELf3YglGAh7TXcG,,,2023-10-29
kasım 2023,2023-11-20,Love Story,Sarah Cothran,Love Story,spotify:track:28iWca1I2wjlrkfiMMP0aL,,,2023-10-30
kasım 2023,2023-11-20,I Think I'm Falling for You,cowboy,MEMORIES,spotify:track:57HMPC2XM3UKQ0KFfwRTKZ,,,2023-10-30
kasım 2023,2023-11-20,Landslide,Fleetwood Mac,Fleetwood Mac,spotify:track:5ihS6UUlyQAfmp48eSkxuQ,,,2023-11-02
kasım 2023,2023-11-20,Mexican Margarita,Jacob Gurevitsch,Lovers in Paris (Deluxe),spotify:track:6h938m1GQTKroY66P4fV4c,,,2023-11-02
kasım 2023,2023-11-20,I Remember Everything (feat. Kacey Musgraves),Zach Bryan,Zach Bryan,spotify:track:4KULAymBBJcPRpk1yO4dOG,,,2023-11-02
kasım 2023,2023-11-20,Everywhere - 2017 Remaster,Fleetwood Mac,Tango In the Night,spotify:track:254bXAqt3zP6P50BdQvEsq,,,2023-11-02
kasım 2023,2023-11-20,Si No Estás,iñigo quintero,Si No Estás,spotify:track:2HafqoJbgXdtjwCOvNEF14,,,2023-11-02
kasım 2023,2023-11-20,RagJazz,NEONE the Wonderer,RagJazz,spotify:track:7DAuQoUWFq40NBVXwWs4xU,,,2023-11-02
kasım 2023,2023-11-20,Candied Tangerines,Jon Bryant,Candied Tangerines,spotify:track:0Y54daRRFZ6hizyMFzB2mL,,,2023-11-02
kasım 2023,2023-11-20,Gimme the Beat Back,Jill Andrews,Thirties,spotify:track:7t4ERqNUFBH7KxS8y9Hz29,,,2023-11-02
kasım 2023,2023-11-20,Wild West End,Dire Straits,Dire Straits,spotify:track:6yVnpVWuT3NdhAmQe05T33,,,2023-11-02
